Offer,Description,Coupon Code,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Flat 25% Off Party Offer,Get FLAT 25% OFF with no maximum discount limit on orders above Rs. 599. Terms: Applicable on select brands only. Not applicable with buy1get1 & already discounted products.,PARTY,https://www.eatsure.com,,,,,YES
Flat Rs. 150 Off on Orders Above Rs. 449,Get Flat Rs. 150 OFF on orders above Rs. 449. Terms: Not applicable with Buy1Get1 FREE offers. Applicable on Behrouz & Ovenstory restaurants only.,FLAT150,https://www.eatsure.com,,,,,YES
Flat Rs. 40 Off on Orders Above Rs. 149,Get Rs. 40 off on orders above Rs. 149. Terms: Get Rs. 40 off on orders above Rs. 149. Not applicable with buy1get1 & already discounted products.,SMALLBITE,https://www.eatsure.com,,,,,YES
Steal Deal (EatSure Foodcourt),Exclusive discounts for your favourite brands on the EatSure Foodcourt. T&C: Not applicable on combos Buy 1 Get 1 FREE offer & already discounted/slash price items. Cannot be clubbed with any other offer.,STEALDEAL,https://www.eatsure.com,,,,,YES
First Time Offer (50% off on first 3 orders),Get Flat 50% off on your 1st 3 orders above Rs. 349. Not applicable on buy1get1. Terms & Conditions: Get Flat 50% off on your 1st 3 orders above Rs. 349. Not applicable on buy1get1.,FIRSTTIME,https://www.eatsure.com,,,,,YES
Flat 50% OFF on 1st Order,Use code ES50 to get FLAT 50% OFF on your 1st order.,ES50,https://www.eatsure.com,,,,,YES
