Offer,Description,Coupon Code,Image,Link,Eligible Credit Cards,Eligible Debit Cards,Net Banking,UPI,Non-Payments-Offers
Navi,Flat Rs. 125 Cashback | Above Rs. 99,,,https://magicpin.in,,,,Navi UPI,
BHIM,Up to Rs. 100 Cashback | Above Rs. 150,,,https://magicpin.in,,,,BHIM UPI,
PayTM,Rs. 15-Rs. 200 cashback + Gold Coins,,,https://magicpin.in,,,,PayTM UPI,
MobiKwik,Flat Rs. 100 Cashback | Above Rs. 249,,,https://magicpin.in,,,,MobiKwik UPI,
Jupiter,Flat Rs. 150 cashback | Above Rs. 199,,,https://magicpin.in,,,,Jupiter UPI,
